loss = 0.008221481289909956,	 val loss = 0.007702469690564189
loss = 0.00819761812265397,	 val loss = 0.007912565522479695
loss = 0.008210506465275182,	 val loss = 0.008179759057371686
loss = 0.008169813074127534,	 val loss = 0.007376540016121036
loss = 0.008200564712152478,	 val loss = 0.007923668762985888
loss = 0.008213884196106167,	 val loss = 0.008280604421374963
loss = 0.008185244810275001,	 val loss = 0.008117135054329292
loss = 0.008206233707864365,	 val loss = 0.007753387524396482
loss = 0.008260244921860498,	 val loss = 0.0070880881072146315
loss = 0.008214810460396581,	 val loss = 0.007508077095515528
loss = 0.008246320296666828,	 val loss = 0.008108186564145164
loss = 0.008213062151506004,	 val loss = 0.007460110287409628
loss = 0.00825417429484278,	 val loss = 0.008061375588890519
loss = 0.008211996372832757,	 val loss = 0.008276012070013704
loss = 0.008259969097307572,	 val loss = 0.007740906000114969
loss = 0.00819184085360313,	 val loss = 0.007151967471400229
loss = 0.008191479708049653,	 val loss = 0.007130406277838906
loss = 0.008184650968008508,	 val loss = 0.007834685348249566
loss = 0.008202190694805713,	 val loss = 0.007478112638807193
loss = 0.008250041048313651,	 val loss = 0.008334322374898392
loss = 0.008206548359926392,	 val loss = 0.007403819896691543
loss = 0.008217094957517058,	 val loss = 0.0076202547753661
loss = 0.008248998577430949,	 val loss = 0.006889603965008219
loss = 0.008257696250838614,	 val loss = 0.007798495593859282
loss = 0.008263497447526753,	 val loss = 0.007185969665106583
loss = 0.008260105302526369,	 val loss = 0.007541416398331788
loss = 0.008249474950055112,	 val loss = 0.007768145518254469
loss = 0.008238397874976523,	 val loss = 0.008829954622908793
loss = 0.008188712989255805,	 val loss = 0.007367861439202062
loss = 0.008266287888572145,	 val loss = 0.007675920301584149
loss = 0.008303675183398248,	 val loss = 0.007161446226727755
loss = 0.008262713426939,	 val loss = 0.008485805829133091
loss = 0.008280708535141738,	 val loss = 0.00884173398221716
loss = 0.008329527252795645,	 val loss = 0.007404147309222372
loss = 0.008286229831492157,	 val loss = 0.00813863109865532
loss = 0.008337096309572325,	 val loss = 0.007207869008344463
loss = 0.008250610417084312,	 val loss = 0.007215340554411644
loss = 0.008335150118557937,	 val loss = 0.008934466729688038
loss = 0.00855323589711785,	 val loss = 0.007690523324216044
loss = 0.008442912218446641,	 val loss = 0.00732591356619905
loss = 0.008223322967471901,	 val loss = 0.00896993077191597
loss = 0.008239310205564024,	 val loss = 0.007311679182262573
loss = 0.00819107761639425,	 val loss = 0.007844464146532462
loss = 0.00818926880359526,	 val loss = 0.007589974070571703
loss = 0.00819289993788512,	 val loss = 0.007576447278096064
loss = 0.008193026840651435,	 val loss = 0.008450085019127276
loss = 0.008248739742907508,	 val loss = 0.007438053599083154
loss = 0.008189190906229358,	 val loss = 0.00969498900097487
loss = 0.008221194498827874,	 val loss = 0.008328151307691548
loss = 0.008149221853074005,	 val loss = 0.007580123070375814
loss = 0.00818448323334049,	 val loss = 0.0070567351824661635
loss = 0.008195287077157632,	 val loss = 0.007599218077686696
loss = 0.00824031969556026,	 val loss = 0.006936309425390736
loss = 0.008250651245931143,	 val loss = 0.007609359321448498
loss = 0.00826505752811976,	 val loss = 0.007392761304200091
loss = 0.008196256872026306,	 val loss = 0.007998889869441462
